Error,elementray charge e,Planck's constant h,electron mass m_e,Proton radius r_p,Rydberg constant R_H,Permittivity of free space ε_0,Speed of Light c,Fine-structure constant alpha
1.27E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973252.68,8.85E-12,299779375.2,0.007297671
1.26E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973252.57,8.85E-12,299779372.2,0.007297671
1.25E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973252.46,8.85E-12,299779369.2,0.007297671
1.23E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973252.35,8.85E-12,299779366.2,0.007297671
1.22E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973252.24,8.85E-12,299779363.2,0.007297671
1.21E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973252.13,8.85E-12,299779360.2,0.007297671
1.20E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973252.02,8.85E-12,299779357.2,0.007297671
1.19E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973251.91,8.85E-12,299779354.2,0.007297672
1.17E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973251.8,8.85E-12,299779351.2,0.007297672
1.16E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973251.69,8.85E-12,299779348.2,0.007297672
1.15E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973251.58,8.85E-12,299779345.2,0.007297672
1.14E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973251.47,8.85E-12,299779342.2,0.007297672
1.13E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973251.36,8.85E-12,299779339.2,0.007297672
1.11E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973251.25,8.85E-12,299779336.2,0.007297672
1.10E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973251.14,8.85E-12,299779333.2,0.007297672
1.09E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973251.03,8.85E-12,299779330.2,0.007297672
1.08E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973250.92,8.85E-12,299779327.2,0.007297672
1.07E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973250.81,8.85E-12,299779324.2,0.007297672
1.05E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973250.7,8.85E-12,299779321.2,0.007297672
1.04E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973250.59,8.85E-12,299779318.2,0.007297672
1.03E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973250.48,8.85E-12,299779315.2,0.007297672
1.02E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973250.37,8.85E-12,299779312.2,0.007297673
1.01E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973250.26,8.85E-12,299779309.2,0.007297673
9.94E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973250.15,8.85E-12,299779306.2,0.007297673
9.82E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973250.05,8.85E-12,299779303.2,0.007297673
9.70E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973249.94,8.85E-12,299779300.2,0.007297673
9.58E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973249.83,8.85E-12,299779297.2,0.007297673
9.46E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973249.72,8.85E-12,299779294.2,0.007297673
9.34E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973249.61,8.85E-12,299779291.2,0.007297673
9.22E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973249.5,8.85E-12,299779288.2,0.007297673
9.10E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973249.39,8.85E-12,299779285.2,0.007297673
8.98E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973249.28,8.85E-12,299779282.2,0.007297673
8.86E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973249.17,8.85E-12,299779279.2,0.007297673
8.74E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973249.06,8.85E-12,299779276.2,0.007297673
8.62E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973248.95,8.85E-12,299779273.2,0.007297674
8.50E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973248.84,8.85E-12,299779270.2,0.007297674
8.38E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973248.73,8.85E-12,299779267.2,0.007297674
8.26E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973248.62,8.85E-12,299779264.2,0.007297674
8.14E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973248.51,8.85E-12,299779261.2,0.007297674
8.02E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973248.4,8.85E-12,299779258.2,0.007297674
7.90E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973248.29,8.85E-12,299779255.3,0.007297674
7.78E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973248.18,8.85E-12,299779252.3,0.007297674
7.66E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973248.07,8.85E-12,299779249.3,0.007297674
7.54E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973247.96,8.85E-12,299779246.3,0.007297674
7.42E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973247.85,8.85E-12,299779243.3,0.007297674
7.30E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973247.74,8.85E-12,299779240.3,0.007297674
7.18E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973247.63,8.85E-12,299779237.3,0.007297674
7.06E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973247.52,8.85E-12,299779234.3,0.007297674
6.94E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973247.41,8.85E-12,299779231.3,0.007297675
6.82E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973247.3,8.85E-12,299779228.3,0.007297675
6.70E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973247.19,8.85E-12,299779225.3,0.007297675
6.58E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973247.08,8.85E-12,299779222.3,0.007297675
6.46E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973246.97,8.85E-12,299779219.3,0.007297675
6.34E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973246.86,8.85E-12,299779216.3,0.007297675
6.22E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973246.75,8.85E-12,299779213.3,0.007297675
6.10E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973246.64,8.85E-12,299779210.3,0.007297675
5.98E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973246.53,8.85E-12,299779207.3,0.007297675
5.86E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973246.42,8.85E-12,299779204.3,0.007297675
5.74E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973246.31,8.85E-12,299779201.3,0.007297675
5.62E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973246.2,8.85E-12,299779198.3,0.007297675
5.50E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973246.09,8.85E-12,299779195.3,0.007297675
5.38E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973245.99,8.85E-12,299779192.3,0.007297675
5.26E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973245.88,8.85E-12,299779189.3,0.007297676
5.14E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973245.77,8.85E-12,299779186.3,0.007297676
5.02E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973245.66,8.85E-12,299779183.3,0.007297676
4.90E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973245.55,8.85E-12,299779180.3,0.007297676
4.78E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973245.44,8.85E-12,299779177.3,0.007297676
4.66E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973245.33,8.85E-12,299779174.3,0.007297676
4.54E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973245.22,8.85E-12,299779171.3,0.007297676
4.42E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973245.11,8.85E-12,299779168.3,0.007297676
4.30E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973245,8.85E-12,299779165.3,0.007297676
4.18E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973244.89,8.85E-12,299779162.3,0.007297676
4.06E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973244.78,8.85E-12,299779159.3,0.007297676
3.94E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973244.67,8.85E-12,299779156.3,0.007297676
3.82E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973244.56,8.85E-12,299779153.3,0.007297676
3.70E-06,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973244.45,8.85E-12,299779150.3,0.007297676
